127.0.0.1 - - [03/May/2022:13:56:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:43 +0900] "GET /board_mvc/app/member/login.jsp HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:43 +0900] "GET /board_mvc/assets/js/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:43 +0900] "GET /board_mvc/assets/css/main.css HTTP/1.1" 200 131286
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:43 +0900] "GET /board_mvc/images/login01.png HTTP/1.1" 200 197109
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:43 +0900] "GET /board_mvc/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:43 +0900] "GET /board_mvc/assets/js/browser.min.js HTTP/1.1" 200 1851
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:43 +0900] "GET /board_mvc/assets/js/breakpoints.min.js HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:43 +0900] "GET /board_mvc/assets/css/fontawesome-all.min.css HTTP/1.1" 200 56251
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:43 +0900] "GET /board_mvc/images/login02.png HTTP/1.1" 200 1258301
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:43 +0900] "GET /board_mvc/app/member/login.js HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:43 +0900] "GET /board_mvc/assets/js/main.js HTTP/1.1" 200 6373
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:43 +0900] "GET /board_mvc/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75440
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:50 +0900] "POST /board_mvc/member/MemberLoginOk.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:50 +0900] "GET /board_mvc/board/BoardListOk.bo HTTP/1.1" 200 7579
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:50 +0900] "GET /board_mvc/images/boardMain.png HTTP/1.1" 200 85277
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:52 +0900] "GET /board_mvc/board/BoardViewOk.bo?boardNum=262 HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:52 +0900] "GET /board_mvc/images/boardView.png HTTP/1.1" 200 414511
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:52 +0900] "GET /board_mvc/board/BoardReplyListOk.bo?boardNum=262 HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:59 +0900] "POST /board_mvc/board/BoardReplyWriteOk.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2022:13:56:59 +0900] "GET /board_mvc/board/BoardReplyListOk.bo?boardNum=262 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:01 +0900] "POST /board_mvc/board/BoardReplyModifyOk.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:01 +0900] "GET /board_mvc/board/BoardReplyListOk.bo?boardNum=262 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:02 +0900] "POST /board_mvc/board/BoardReplyDeleteOk.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:11 +0900] "POST /board_mvc/board/BoardReplyDeleteOk.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:11 +0900] "POST /board_mvc/board/BoardReplyDeleteOk.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:15 +0900] "GET /board_mvc/board/BoardListOk.bo HTTP/1.1" 200 7579
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:16 +0900] "GET /board_mvc/board/BoardViewOk.bo?boardNum=262 HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:20 +0900] "GET /board_mvc/board/BoardListOk.bo HTTP/1.1" 200 7579
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:20 +0900] "GET /board_mvc/board/BoardReplyListOk.bo?boardNum=262 HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:22 +0900] "GET /board_mvc/board/BoardReplyListOk.bo?boardNum=262 HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:22 +0900] "GET /board_mvc/board/BoardViewOk.bo?boardNum=262 HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:25 +0900] "GET /board_mvc/board/BoardWrite.bo HTTP/1.1" 200 5926
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:25 +0900] "GET /board_mvc/images/filePlus.png HTTP/1.1" 200 3268
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:32 +0900] "POST /board_mvc/board/BoardReplyModifyOk.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:39 +0900] "GET /board_mvc/board/BoardListOk.bo HTTP/1.1" 200 7579
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:40 +0900] "GET /board_mvc/board/BoardReplyListOk.bo?boardNum=262 HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:42 +0900] "GET /board_mvc/board/BoardWrite.bo HTTP/1.1" 200 5926
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:43 +0900] "GET /board_mvc/board/BoardListOk.bo HTTP/1.1" 200 7579
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:45 +0900] "POST /board_mvc/board/BoardReplyDeleteOk.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:45 +0900] "GET /board_mvc/board/BoardReplyListOk.bo?boardNum=262 HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:45 +0900] "GET /board_mvc/board/BoardViewOk.bo?boardNum=262 HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:45 +0900] "GET /board_mvc/board/BoardReplyListOk.bo?boardNum=262 HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [03/May/2022:13:57:46 +0900] "GET /board_mvc/board/BoardListOk.bo HTTP/1.1" 200 7579
0:0:0:0:0:0:0:1 - - [03/May/2022:13:58:08 +0900] "POST /board_mvc/board/BoardReplyDeleteOk.bo HTTP/1.1" 200 -
